year,value
1960,0.7
1961,1.8
1962,2.68
1963,1.97
1964,3.47
1965,3.4
1966,2.76
1967,6.06
1968,4.31
1969,4.93
1970,6.52
1971,10.39
1972,6.93
1973,8.17
1974,11.11
1975,14.68
1976,16.91
1977,14.38
1978,11.96
1979,13.7
1980,17.15
1981,15.37
1982,16.16
1983,7.34
1984,6.17
1985,15.42
1986,13.21
1987,15.74
1988,6.38
1989,5.72
1990,6.1
1991,2.6
1992,1.01
1993,1.29
1994,1.75
1995,3.75
1996,2.29
1997,1.19
1998,1.27
1999,-0.11
2000,2.62
2001,2.63
2002,2.68
2003,1.75
2004,2.29
2005,3.04
2006,3.37
2007,2.38
2008,3.96
2009,2.12
2010,2.3
2011,4.03
2012,1.06
2013,1.13
2014,1.23
2015,0.29
2016,0.65
2017,1.85
2018,1.6
2019,1.62
2020,1.71
2021,3.94
2022,7.17
2023,5.73
2024,2.92
