year,value
1961,3.32
1962,3.08
1963,6.1
1964,6.1
1965,6.11
1966,6.25
1967,-4.59
1968,-0.05
1969,10.19
1970,-1.4
1971,3.79
1972,5.12
1973,7.8
1974,5.99
1975,-1.73
1976,0.93
1977,-3.94
1978,0.32
1979,2.19
1980,1.28
1981,4.66
1982,0.93
1983,3.49
1984,4.79
1985,1.62
1986,2.71
1987,0.97
1988,-0.35
1989,0.16
1990,0.15
1991,-1.09
1992,1.09
1993,6.39
1994,5.12
1995,4.72
1996,3.61
1997,2.08
1998,0.86
1999,5.38
2000,2.87
2001,3.41
2002,4.71
2003,4.73
2004,4.09
2005,3.35
2006,2.78
2007,3.06
2008,-1.02
2009,-0.04
2010,1.46
2011,2.09
2012,2.37
2013,2.59
2014,3.83
2015,3.69
2016,3.78
2017,3.38
2018,3.47
2019,2.32
2020,-0.31
2021,4.54
2022,3.5
2023,1.39
2024,1.29
