date,cost of living,crime,housing crisis,immigration,healthcare
2017-01-01,2,18,0,75,18
2017-02-01,1,20,0,87,19
2017-03-01,2,21,1,84,23
2017-04-01,2,21,0,100,20
2017-05-01,1,23,1,97,25
2017-06-01,2,20,1,78,22
2017-07-01,2,19,1,91,23
2017-08-01,2,20,1,88,25
2017-09-01,2,19,1,70,22
2017-10-01,2,20,1,79,23
2017-11-01,2,20,1,73,22
2017-12-01,1,16,0,63,17
2018-01-01,2,19,0,79,21
2018-02-01,2,21,0,78,21
2018-03-01,2,21,1,79,22
2018-04-01,2,20,1,73,22
2018-05-01,2,21,1,77,24
2018-06-01,2,20,1,77,24
2018-07-01,2,20,0,74,24
2018-08-01,2,20,1,78,25
2018-09-01,2,20,1,63,25
2018-10-01,2,19,0,67,24
2018-11-01,2,17,0,82,21
2018-12-01,2,20,0,59,19
2019-01-01,2,20,0,76,21
2019-02-01,2,19,0,77,23
2019-03-01,2,21,1,76,23
2019-04-01,2,20,0,67,23
2019-05-01,2,21,1,81,25
2019-06-01,2,20,1,77,25
2019-07-01,2,20,0,86,26
2019-08-01,2,22,0,78,26
2019-09-01,2,22,1,91,26
2019-10-01,1,21,0,82,24
2019-11-01,2,20,0,76,23
2019-12-01,1,23,0,52,20
2020-01-01,2,20,0,67,23
2020-02-01,2,22,1,82,27
2020-03-01,1,20,1,81,37
2020-04-01,1,21,0,38,33
2020-05-01,1,21,0,66,29
2020-06-01,1,28,0,71,32
2020-07-01,1,21,0,85,31
2020-08-01,1,20,0,66,30
2020-09-01,1,21,0,71,32
2020-10-01,1,21,0,62,29
2020-11-01,1,19,0,57,29
2020-12-01,1,20,1,51,24
2021-01-01,1,21,1,56,25
2021-02-01,1,21,1,57,28
2021-03-01,1,23,1,60,30
2021-04-01,1,23,1,64,29
2021-05-01,1,23,1,82,30
2021-06-01,1,25,1,66,31
2021-07-01,1,23,0,66,30
2021-08-01,1,25,1,49,29
2021-09-01,1,25,1,71,28
2021-10-01,1,21,1,86,28
2021-11-01,1,19,1,57,28
2021-12-01,1,20,0,63,23
2022-01-01,2,22,0,71,25
2022-02-01,2,22,0,92,29
2022-03-01,4,25,1,79,28
2022-04-01,3,27,0,65,25
2022-05-01,9,25,1,91,29
2022-06-01,8,25,1,85,27
2022-07-01,38,24,0,93,25
2022-08-01,34,26,1,98,30
2022-09-01,12,28,1,87,27
2022-10-01,10,28,0,89,25
2022-11-01,5,24,0,74,24
2022-12-01,4,25,0,62,20
2023-01-01,5,23,0,62,23
2023-02-01,5,22,0,66,26
2023-03-01,8,28,1,69,28
2023-04-01,6,24,0,62,26
2023-05-01,6,25,0,67,29
2023-06-01,5,26,0,62,27
2023-07-01,5,25,0,58,28
2023-08-01,5,26,0,58,34
2023-09-01,5,26,0,60,29
2023-10-01,4,23,0,58,28
2023-11-01,3,22,0,56,27
2023-12-01,3,21,0,46,21
2024-01-01,3,22,0,56,24
2024-02-01,4,22,0,53,27
2024-03-01,4,23,1,49,27
2024-04-01,4,24,0,64,29
2024-05-01,4,24,1,48,32
2024-06-01,4,23,1,47,27
2024-07-01,3,28,0,54,28
2024-08-01,3,28,0,53,28
2024-09-01,3,24,0,59,29
2024-10-01,3,25,0,50,25
2024-11-01,2,21,0,45,22
2024-12-01,2,19,0,44,25
2025-01-01,3,21,0,42,22
2025-02-01,2,22,0,49,28
2025-03-01,4,25,0,48,29
2025-04-01,3,24,0,43,27
2025-05-01,3,25,0,43,29
2025-06-01,3,22,0,48,26
2025-07-01,3,23,0,44,27
2025-08-01,4,24,0,45,28
2025-09-01,4,22,0,46,25
2025-10-01,3,24,0,43,24
2025-11-01,5,23,0,43,26
2025-12-01,6,24,0,40,23
