date,mean_score,top4_pct,neutral_pct,bottom4_pct,dk_pct,government
2017-09,5.0,31,40,30,0,National
2018-07,5.4,38,36,22,4,Labour-NZF-Grn
2018-10,5.7,42,35,20,4,Labour-NZF-Grn
2019-03,5.5,41,32,23,4,Labour-NZF-Grn
2019-04,6.6,60,24,12,4,Labour-NZF-Grn
2019-07,5.7,43,34,19,4,Labour-NZF-Grn
2019-11,5.7,44,35,18,4,Labour-NZF-Grn
2020-03,5.8,45,34,18,4,Labour-NZF-Grn
2020-05,7.6,75,17,6,2,Labour-NZF-Grn
2020-07,7.3,72,17,8,3,Labour-NZF-Grn
2020-09,7.2,70,19,9,2,Labour-NZF-Grn
2020-11,7.3,70,18,8,4,Labour
2021-02,6.9,63,23,10,3,Labour
2021-06,6.5,58,24,15,3,Labour
2021-10,6.2,54,25,18,2,Labour
2022-02,5.7,47,27,24,2,Labour
2022-05,5.3,41,29,28,1,Labour
2022-09,5.5,42,29,27,3,Labour
2023-02,5.4,44,28,27,2,Labour
2023-05,5.2,35,39,25,3,Labour
2023-08,4.5,28,34,34,3,Labour
2023-09,4.7,31,33,32,3,National-ACT-NZF
2024-02,4.6,30,29,37,4,National-ACT-NZF
2024-05,4.6,31,29,38,2,National-ACT-NZF
2024-08,4.5,31,32,38,2,National-ACT-NZF
2024-10,4.7,31,30,36,2,National-ACT-NZF
2025-02,4.2,25,33,41,2,National-ACT-NZF
2025-05,4.3,28,31,39,2,National-ACT-NZF
2025-08,4.2,26,30,41,2,National-ACT-NZF
2025-10,3.9,23,31,45,2,National-ACT-NZF
