date,inflation_cost_of_living,healthcare_hospitals,the_economy,housing_price,crime_law_order,poverty_inequality,unemployment,climate_change,education,race_relations,source_note
2018-09,13,45,18,29,25,24,14,8,4,4,exact_from_chart
2019-02,11,41,25,26,21,24,14,7,7,7,exact_from_chart
2019-03,12,42,28,25,20,20,12,9,8,30,exact_from_chart
2019-07,14,42,29,24,20,20,12,9,7,10,exact_from_chart
2019-10,12,42,25,23,23,20,12,8,8,9,exact_from_chart
2020-03,13,40,25,23,23,22,13,6,5,4,exact_from_chart
2020-05,14,53,23,16,16,18,41,7,5,5,exact_from_chart
2020-07,14,53,23,16,16,21,27,7,5,5,exact_from_chart
2020-09,16,47,22,19,16,18,31,8,8,6,exact_from_chart
2020-11,16,42,23,23,16,21,28,8,7,7,exact_from_chart
2021-02,16,42,23,26,16,26,26,14,9,8,exact_from_chart
2021-06,18,30,27,31,19,22,18,11,7,3,exact_from_chart
2021-10,19,34,27,27,23,22,16,41,7,5,exact_from_chart
2022-02,27,29,29,31,23,26,16,31,7,4,exact_from_chart
2022-05,42,24,31,27,22,22,16,27,7,5,exact_from_chart
2022-10,53,24,33,22,22,18,18,22,6,4,exact_from_chart
2023-02,53,27,33,24,22,20,16,21,7,7,exact_from_chart
2023-05,54,23,33,26,22,21,15,18,9,7,exact_from_chart
2023-08,53,23,32,27,25,21,16,18,7,6,exact_from_chart
2023-09,56,23,37,28,21,19,16,19,11,8,exact_from_chart
2024-02,60,33,27,32,25,19,13,19,8,5,exact_from_chart
2024-05,63,33,29,29,27,19,13,18,6,4,exact_from_chart
2024-08,62,40,29,30,27,18,12,15,9,5,exact_from_chart
2024-10,62,41,28,30,25,18,10,13,7,4,exact_from_chart
2025-02,59,37,25,27,25,15,10,14,6,7,exact_from_chart
2025-05,55,37,30,27,21,18,15,11,9,6,exact_from_chart
2025-08,60,44,30,26,21,18,19,15,11,6,exact_from_report
2025-10,61,42,32,22,19,19,19,15,11,7,exact_from_report
