date,issue,national,labour,nz_first,green,act,te_pati_maori,other,dont_know,none
2023-08,inflation_cost_of_living,34,21,3,5,7,1,1,17,11
2023-09,inflation_cost_of_living,35,23,4,7,6,2,1,12,11
2024-02,inflation_cost_of_living,35,27,2,9,3,2,1,11,9
2024-05,inflation_cost_of_living,37,27,4,6,4,2,1,11,11
2024-08,inflation_cost_of_living,35,26,3,5,3,1,1,13,11
2024-10,inflation_cost_of_living,26,30,2,5,3,2,1,11,10
2025-02,inflation_cost_of_living,28,28,5,5,3,2,1,14,11
2025-05,inflation_cost_of_living,32,32,4,6,4,3,1,10,10
2025-08,inflation_cost_of_living,33,31,6,5,5,2,1,11,12
2025-10,inflation_cost_of_living,24,36,4,5,4,1,1,12,13
2023-08,healthcare_hospitals,28,26,3,6,6,1,1,20,9
2023-09,healthcare_hospitals,31,30,5,7,4,2,1,14,8
2024-02,healthcare_hospitals,32,33,3,8,4,3,1,13,8
2024-05,healthcare_hospitals,33,28,4,6,4,2,1,14,9
2024-08,healthcare_hospitals,32,29,3,6,4,1,1,14,10
2024-10,healthcare_hospitals,31,28,3,5,2,3,1,12,11
2025-02,healthcare_hospitals,36,33,4,4,4,3,0,7,12
2025-05,healthcare_hospitals,36,36,4,5,4,3,1,9,11
2025-08,healthcare_hospitals,23,37,5,7,3,3,1,7,9
2025-10,healthcare_hospitals,21,40,4,5,4,2,1,11,13
2023-08,the_economy,39,24,3,4,6,1,1,17,7
2023-09,the_economy,41,24,4,5,4,2,1,11,6
2024-02,the_economy,40,25,2,6,3,2,1,10,9
2024-05,the_economy,42,27,3,5,4,2,1,9,9
2024-08,the_economy,40,27,2,5,3,0,0,8,8
2024-10,the_economy,36,29,3,4,3,1,1,12,10
2025-02,the_economy,35,29,4,3,4,2,1,11,12
2025-05,the_economy,30,30,4,5,4,3,1,12,11
2025-08,the_economy,32,32,5,5,3,2,1,7,11
2025-10,the_economy,29,33,4,5,4,1,1,12,11
2023-08,housing_price,32,24,3,5,6,2,1,19,13
2023-09,housing_price,31,23,4,8,5,2,1,15,11
2024-02,housing_price,33,28,4,8,5,2,2,14,11
2024-05,housing_price,32,28,3,8,4,3,1,14,14
2024-08,housing_price,29,26,3,8,3,1,1,15,12
2024-10,housing_price,30,27,4,6,3,2,1,13,12
2025-02,housing_price,30,28,3,5,4,3,1,15,13
2025-05,housing_price,29,27,4,6,4,3,1,15,13
2025-08,housing_price,32,27,5,7,4,3,1,12,12
2025-10,housing_price,22,32,4,7,4,2,0,14,16
2023-08,crime_law_order,36,20,4,3,12,2,1,17,9
2023-09,crime_law_order,37,18,5,6,10,4,1,11,6
2024-02,crime_law_order,38,19,4,5,8,4,1,12,9
2024-05,crime_law_order,35,27,4,5,8,3,1,11,9
2024-08,crime_law_order,40,21,4,6,7,2,1,8,8
2024-10,crime_law_order,39,21,4,4,6,3,1,9,9
2025-02,crime_law_order,36,23,5,4,7,4,1,13,8
2025-05,crime_law_order,34,25,6,4,7,3,1,11,10
2025-08,crime_law_order,31,26,7,5,6,4,1,8,14
2025-10,crime_law_order,30,25,8,4,8,2,0,10,13
2023-08,unemployment,30,27,4,4,6,2,0,19,8
2023-09,unemployment,29,30,4,0,5,2,1,5,4
2024-02,unemployment,32,29,2,7,4,2,1,13,11
2024-05,unemployment,33,31,0,5,4,2,1,8,13
2024-08,unemployment,37,30,0,5,3,2,0,9,13
2024-10,unemployment,36,26,2,5,3,2,0,14,13
2025-02,unemployment,37,27,3,5,4,2,1,12,10
2025-05,unemployment,37,22,4,4,4,3,1,15,9
2025-08,unemployment,39,19,5,5,4,2,1,13,12
2025-10,unemployment,39,19,4,5,4,1,1,12,10
