election_year,party_vote,lr_self,lr_national,lr_labour,econ_state,age,female,ethnicity_euro,ethnicity_maori,prev_vote,income_bracket,econ_change,education,party_like_lab,party_like_nat,party_like_grn,party_like_nzf,party_like_act,lr_green,vote_national,age_group,education_label
1996,NZ First,4.0,9.0,4.0,3.0,72.0,0.0,True,False,,,,,,,,,,,,60+,
1996,National,8.0,8.0,3.0,2.0,74.0,0.0,True,False,,,,,,,,,,,1.0,60+,
1996,Christian,8.0,9.0,3.0,1.0,47.0,0.0,True,False,,,,,,,,,,,,45-59,
1996,NZ First,,10.0,2.0,3.0,59.0,1.0,True,False,,,,,,,,,,,,45-59,
1996,Labour,2.0,10.0,4.0,3.0,50.0,0.0,False,True,,,,,,,,,,,0.0,45-59,
1996,,5.0,6.0,4.0,2.0,35.0,1.0,False,False,,,,,,,,,,,,30-44,
1996,Labour,4.0,8.0,4.0,2.0,42.0,0.0,True,False,,,,,,,,,,,0.0,30-44,
1996,National,8.0,8.0,4.0,2.0,66.0,0.0,True,False,,,,,,,,,,,1.0,60+,
1996,,5.0,6.0,4.0,3.0,30.0,1.0,False,False,,,,,,,,,,,,30-44,
1996,Labour,5.0,7.0,4.0,3.0,52.0,1.0,True,False,,,,,,,,,,,0.0,45-59,
1996,NZ First,,7.0,4.0,4.0,60.0,0.0,True,False,,,,,,,,,,,,60+,
1996,,,10.0,2.0,4.0,40.0,1.0,False,False,,,,,,,,,,,,30-44,
1996,Labour,6.0,10.0,2.0,4.0,78.0,0.0,True,False,,,,,,,,,,,0.0,60+,
1996,Labour,5.0,10.0,1.0,2.0,48.0,1.0,True,False,,,,,,,,,,,0.0,45-59,
1996,National,7.0,8.0,4.0,2.0,48.0,0.0,True,False,,,,,,,,,,,1.0,45-59,
1996,Labour,1.0,8.0,1.0,2.0,70.0,0.0,True,False,,,,,,,,,,,0.0,60+,
1996,Labour,3.0,9.0,3.0,3.0,44.0,0.0,True,False,,,,,,,,,,,0.0,30-44,
1996,National,7.0,10.0,5.0,3.0,69.0,0.0,True,False,,,,,,,,,,,1.0,60+,
1996,National,,,,2.0,56.0,1.0,True,False,,,,,,,,,,,1.0,45-59,
1996,Christian,8.0,7.0,3.0,2.0,44.0,0.0,True,False,,,,,,,,,,,,30-44,
1996,Alliance,5.0,,,3.0,43.0,1.0,True,False,,,,,,,,,,,,30-44,
1996,National,10.0,10.0,2.0,1.0,40.0,0.0,True,False,,,,,,,,,,,1.0,30-44,
1996,Labour,,,,3.0,84.0,1.0,True,False,,,,,,,,,,,0.0,60+,
1996,National,5.0,9.0,3.0,2.0,62.0,1.0,True,False,,,,,,,,,,,1.0,60+,
1996,Labour,,10.0,2.0,2.0,36.0,1.0,True,False,,,,,,,,,,,0.0,30-44,
1996,Labour,7.0,9.0,4.0,4.0,37.0,0.0,True,False,,,,,,,,,,,0.0,30-44,
1996,NZ First,5.0,9.0,5.0,3.0,84.0,1.0,True,False,,,,,,,,,,,,60+,
