STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,EDITION,Edition,CATEGORY,Category,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_2023(1.0),"Main indicators, Government at a glance indicators, 2023 edition",I,A,Annual,AUS,Australia,GINV,Government investment,PT_B1GQ,Percentage of GDP,S13,General government,2023,2023,PF,Public finance,2007,,3.22,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_2023(1.0),"Main indicators, Government at a glance indicators, 2023 edition",I,A,Annual,AUT,Austria,GINV,Government investment,PT_B1GQ,Percentage of GDP,S13,General government,2023,2023,PF,Public finance,2007,,3.14,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_2023(1.0),"Main indicators, Government at a glance indicators, 2023 edition",I,A,Annual,BEL,Belgium,GINV,Government investment,PT_B1GQ,Percentage of GDP,S13,General government,2023,2023,PF,Public finance,2007,,2,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_2023(1.0),"Main indicators, Government at a glance indicators, 2023 edition",I,A,Annual,CAN,Canada,GINV,Government investment,PT_B1GQ,Percentage of GDP,S13,General government,2023,2023,PF,Public finance,2007,,3.75,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_2023(1.0),"Main indicators, Government at a glance indicators, 2023 edition",I,A,Annual,CHL,Chile,GINV,Government investment,PT_B1GQ,Percentage of GDP,S13,General government,2023,2023,PF,Public finance,2007,,2.53,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_2023(1.0),"Main indicators, Government at a glance indicators, 2023 edition",I,A,Annual,COL,Colombia,GINV,Government investment,PT_B1GQ,Percentage of GDP,S13,General government,2023,2023,PF,Public finance,2007,,2.57,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_2023(1.0),"Main indicators, Government at a glance indicators, 2023 edition",I,A,Annual,CRI,Costa Rica,GINV,Government investment,PT_B1GQ,Percentage of GDP,S13,General government,2023,2023,PF,Public finance,2007,,1.99,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_2023(1.0),"Main indicators, Government at a glance indicators, 2023 edition",I,A,Annual,CZE,Czechia,GINV,Government investment,PT_B1GQ,Percentage of GDP,S13,General government,2023,2023,PF,Public finance,2007,,4.51,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_2023(1.0),"Main indicators, Government at a glance indicators, 2023 edition",I,A,Annual,DNK,Denmark,GINV,Government investment,PT_B1GQ,Percentage of GDP,S13,General government,2023,2023,PF,Public finance,2007,,2.84,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_2023(1.0),"Main indicators, Government at a glance indicators, 2023 edition",I,A,Annual,EST,Estonia,GINV,Government investment,PT_B1GQ,Percentage of GDP,S13,General government,2023,2023,PF,Public finance,2007,,5.91,,A,Normal value,0,Units,_Z,Not applicable,,
