date,election_cycle,pollster,sample_size,candidate,percent
1997-05-13,1999,One News Colmar Brunton,,Anderton,6.0
1997-05-13,1999,One News Colmar Brunton,,Bolger,20.0
1997-05-13,1999,One News Colmar Brunton,,Clark,21.0
1997-05-13,1999,One News Colmar Brunton,,Moore,5.0
1997-05-13,1999,One News Colmar Brunton,,Peters,4.0
1997-05-13,1999,One News Colmar Brunton,,Shipley,6.0
1997-06-25,1999,One News Colmar Brunton,,Anderton,5.0
1997-06-25,1999,One News Colmar Brunton,,Bolger,21.0
1997-06-25,1999,One News Colmar Brunton,,Clark,26.0
1997-06-25,1999,One News Colmar Brunton,,Moore,4.0
1997-06-25,1999,One News Colmar Brunton,,Peters,4.0
1997-06-25,1999,One News Colmar Brunton,,Shipley,4.0
1997-08-13,1999,One News Colmar Brunton,,Anderton,7.0
1997-08-13,1999,One News Colmar Brunton,,Bolger,20.0
1997-08-13,1999,One News Colmar Brunton,,Clark,25.0
1997-08-13,1999,One News Colmar Brunton,,Peters,3.0
1997-08-13,1999,One News Colmar Brunton,,Shipley,9.0
1997-12-10,1999,One News Colmar Brunton,,Bolger,5.0
1997-12-10,1999,One News Colmar Brunton,,Clark,28.0
1997-12-10,1999,One News Colmar Brunton,,Peters,2.0
1997-12-10,1999,One News Colmar Brunton,,Shipley,27.0
1998-02-12,1999,One News Colmar Brunton,,Anderton,5.0
1998-02-12,1999,One News Colmar Brunton,,Bolger,3.0
1998-02-12,1999,One News Colmar Brunton,,Clark,26.0
1998-02-12,1999,One News Colmar Brunton,,Moore,3.0
1998-02-12,1999,One News Colmar Brunton,,Peters,1.0
1998-02-12,1999,One News Colmar Brunton,,Shipley,27.0
1998-02-15,1999,TV3-CM Research,,Anderton,5.0
1998-02-15,1999,TV3-CM Research,,Bolger,4.0
1998-02-15,1999,TV3-CM Research,,Clark,28.0
1998-02-15,1999,TV3-CM Research,,Moore,5.0
1998-02-15,1999,TV3-CM Research,,Peters,2.0
1998-02-15,1999,TV3-CM Research,,Shipley,20.0
1998-03-25,1999,One News Colmar Brunton,,Anderton,4.0
1998-03-25,1999,One News Colmar Brunton,,Bolger,3.0
1998-03-25,1999,One News Colmar Brunton,,Clark,23.0
1998-03-25,1999,One News Colmar Brunton,,Moore,3.0
1998-03-25,1999,One News Colmar Brunton,,Peters,3.0
1998-03-25,1999,One News Colmar Brunton,,Shipley,31.0
1998-07-10,1999,TV3-CM Research,,Clark,21.0
1998-07-10,1999,TV3-CM Research,,Shipley,22.0
1998-08-11,1999,One News Colmar Brunton,,Anderton,9.0
1998-08-11,1999,One News Colmar Brunton,,Clark,22.0
1998-08-11,1999,One News Colmar Brunton,,Peters,2.0
1998-08-11,1999,One News Colmar Brunton,,Prebble,2.0
1998-08-11,1999,One News Colmar Brunton,,Shipley,28.0
1998-09-22,1999,One News Colmar Brunton,,Anderton,7.0
1998-09-22,1999,One News Colmar Brunton,,Clark,23.0
1998-09-22,1999,One News Colmar Brunton,,Peters,3.0
1998-09-22,1999,One News Colmar Brunton,,Prebble,1.0
1998-09-22,1999,One News Colmar Brunton,,Shipley,28.0
1998-11-17,1999,TV3/CM Research,,Anderton,6.0
1998-11-17,1999,TV3/CM Research,,Clark,24.0
1998-11-17,1999,TV3/CM Research,,Peters,4.0
1998-11-17,1999,TV3/CM Research,,Shipley,15.0
1999-03-23,1999,One News Colmar Brunton,,Clark,21.0
1999-03-23,1999,One News Colmar Brunton,,Shipley,29.0
1999-04-27,1999,One News Colmar Brunton,,Anderton,5.0
1999-04-27,1999,One News Colmar Brunton,,Clark,21.0
1999-04-27,1999,One News Colmar Brunton,,Peters,3.0
1999-04-27,1999,One News Colmar Brunton,,Prebble,1.0
1999-04-27,1999,One News Colmar Brunton,,Shipley,27.0
1999-05-19,1999,One News Colmar Brunton,,Anderton,6.0
1999-05-19,1999,One News Colmar Brunton,,Clark,22.0
1999-05-19,1999,One News Colmar Brunton,,Peters,4.0
1999-05-19,1999,One News Colmar Brunton,,Prebble,1.0
1999-05-19,1999,One News Colmar Brunton,,Shipley,27.0
1999-08-11,1999,New Zealand Herald-DigiPoll,,Anderton,6.4
1999-08-11,1999,New Zealand Herald-DigiPoll,,Clark,19.5
1999-08-11,1999,New Zealand Herald-DigiPoll,,Moore,3.0
1999-08-11,1999,New Zealand Herald-DigiPoll,,Peters,2.4
1999-08-11,1999,New Zealand Herald-DigiPoll,,Shipley,17.6
1999-09-08,1999,New Zealand Herald-DigiPoll,,Anderton,4.4
1999-09-08,1999,New Zealand Herald-DigiPoll,,Bolger,1.1
1999-09-08,1999,New Zealand Herald-DigiPoll,,Clark,19.5
1999-09-08,1999,New Zealand Herald-DigiPoll,,Moore,1.7
1999-09-08,1999,New Zealand Herald-DigiPoll,,Peters,6.9
1999-09-08,1999,New Zealand Herald-DigiPoll,,Prebble,1.8
1999-09-08,1999,New Zealand Herald-DigiPoll,,Shipley,16.0
1999-11-26,1999,One News Colmar Brunton,,Clark,30.0
1999-11-26,1999,One News Colmar Brunton,,Shipley,27.0
1999-11-26,1999,TV3/CM Research,,Clark,23.0
1999-11-26,1999,TV3/CM Research,,Shipley,20.0
2000-02-28,2002,One News Colmar Brunton,,Clark,43.0
2000-02-28,2002,One News Colmar Brunton,,Shipley,16.0
2000-02-28,2002,TV3/CM Research poll,,Clark,36.0
2000-02-28,2002,TV3/CM Research poll,,Shipley,13.0
2000-04-18,2002,TV3/CM Research poll,,Clark,42.0
2000-04-18,2002,TV3/CM Research poll,,Shipley,13.0
2000-08-22,2002,TV3/CM Research poll,,Clark,31.0
2000-08-22,2002,TV3/CM Research poll,,Shipley,16.0
2001-02-20,2002,TV3/CM Research poll,,Clark,35.0
2001-02-20,2002,TV3/CM Research poll,,Shipley,16.0
2001-04-09,2002,TV3-NFO,,Clark,36.0
2001-04-09,2002,TV3-NFO,,Shipley,11.0
2001-05-14,2002,One News Colmar Brunton,,Anderton,3.0
2001-05-14,2002,One News Colmar Brunton,,Clark,37.0
2001-05-14,2002,One News Colmar Brunton,,Shipley,17.0
2001-10-12,2002,One News Colmar Brunton,,Clark,41.0
2001-10-12,2002,One News Colmar Brunton,,English,21.0
2001-11-12,2002,One News Colmar Brunton,,Clark,40.0
2001-11-12,2002,One News Colmar Brunton,,English,19.0
2001-12-17,2002,TV3/CM Research poll,,Clark,41.0
2001-12-17,2002,TV3/CM Research poll,,English,17.0
2002-02-27,2002,TV3/CM Research poll,,Anderton,3.0
2002-02-27,2002,TV3/CM Research poll,,Clark,41.0
2002-02-27,2002,TV3/CM Research poll,,English,10.0
2002-02-27,2002,TV3/CM Research poll,,Peters,5.0
2002-06-17,2002,One News Colmar Brunton,,Anderton,2.0
2002-06-17,2002,One News Colmar Brunton,,Clark,52.0
2002-06-17,2002,One News Colmar Brunton,,English,17.0
2002-06-17,2002,One News Colmar Brunton,,Peters,4.0
2002-07-15,2002,One News Colmar Brunton,,Anderton,2.0
2002-07-15,2002,One News Colmar Brunton,,Clark,48.0
2002-07-15,2002,One News Colmar Brunton,,English,19.0
2002-07-15,2002,One News Colmar Brunton,,Peters,7.0
2005-11-02,2008,TV3–TNS,,Brash,19.0
2005-11-02,2008,TV3–TNS,,Clark,43.0
2005-11-02,2008,TV3–TNS,,Peters,8.0
2006-02-02,2008,TV3–TNS,,Brash,16.0
2006-02-02,2008,TV3–TNS,,Clark,39.0
2006-02-02,2008,TV3–TNS,,Peters,7.0
2006-03-29,2008,TV3–TNS,,Brash,15.0
2006-03-29,2008,TV3–TNS,,Clark,38.0
2006-03-29,2008,TV3–TNS,,Peters,6.0
2006-05-10,2008,TV3–TNS,,Brash,18.0
2006-05-10,2008,TV3–TNS,,Clark,34.0
2006-05-10,2008,TV3–TNS,,Peters,6.0
2006-07-05,2008,TV3–TNS,,Brash,13.0
2006-07-05,2008,TV3–TNS,,Clark,38.0
2006-07-05,2008,TV3–TNS,,Key,0.0
2006-07-05,2008,TV3–TNS,,Peters,6.0
2006-08-30,2008,TV3–TNS,,Brash,17.0
2006-08-30,2008,TV3–TNS,,Clark,38.0
2006-08-30,2008,TV3–TNS,,Key,0.0
2006-08-30,2008,TV3–TNS,,Peters,5.0
2006-08-31,2008,Herald–DigiPoll,,Brash,22.4
2006-08-31,2008,Herald–DigiPoll,,Clark,52.4
2006-08-31,2008,Herald–DigiPoll,,Key,8.5
2006-08-31,2008,Herald–DigiPoll,,Peters,5.0
2006-09-24,2008,Herald–DigiPoll,,Brash,25.9
2006-09-24,2008,Herald–DigiPoll,,Clark,50.8
2006-09-24,2008,Herald–DigiPoll,,Key,9.2
2006-09-24,2008,Herald–DigiPoll,,Peters,4.8
2006-11-01,2008,TV3–TNS,,Brash,15.0
2006-11-01,2008,TV3–TNS,,Clark,35.0
2006-12-02,2008,Herald–DigiPoll,,Brash,3.9
2006-12-02,2008,Herald–DigiPoll,,Clark,54.2
2006-12-02,2008,Herald–DigiPoll,,Key,28.5
2007-02-01,2008,TV3–TNS,,Brash,1.0
2007-02-01,2008,TV3–TNS,,Clark,35.0
2007-02-01,2008,TV3–TNS,,Key,24.0
2007-02-01,2008,TV3–TNS,,Peters,5.0
2007-02-15,2008,One News–Colmar Brunton,,Clark,32.0
2007-02-15,2008,One News–Colmar Brunton,,Key,27.0
2007-02-15,2008,One News–Colmar Brunton,,Peters,3.0
2007-03-22,2008,One News–Colmar Brunton,,Clark,32.0
2007-03-22,2008,One News–Colmar Brunton,,Key,29.0
2007-03-22,2008,One News–Colmar Brunton,,Peters,4.0
2007-03-28,2008,TV3–TNS,,Brash,1.0
2007-03-28,2008,TV3–TNS,,Clark,37.0
2007-03-28,2008,TV3–TNS,,Key,28.0
2007-03-28,2008,TV3–TNS,,Peters,4.0
2007-04-19,2008,One News–Colmar Brunton,,Brash,1.0
2007-04-19,2008,One News–Colmar Brunton,,Clark,37.0
2007-04-19,2008,One News–Colmar Brunton,,Key,29.0
2007-04-19,2008,One News–Colmar Brunton,,Peters,3.0
2007-05-09,2008,TV3–TNS,,Brash,1.0
2007-05-09,2008,TV3–TNS,,Clark,30.0
2007-05-09,2008,TV3–TNS,,Key,32.0
2007-05-09,2008,TV3–TNS,,Peters,5.0
2007-05-24,2008,Herald–DigiPoll,,Clark,42.1
2007-05-24,2008,Herald–DigiPoll,,Key,45.5
2007-05-24,2008,Herald–DigiPoll,,Peters,5.4
2007-05-24,2008,One News–Colmar Brunton,,Brash,0.3
2007-05-24,2008,One News–Colmar Brunton,,Clark,27.0
2007-05-24,2008,One News–Colmar Brunton,,Key,38.0
2007-05-24,2008,One News–Colmar Brunton,,Peters,2.0
2007-07-05,2008,One News–Colmar Brunton,,Brash,0.5
2007-07-05,2008,One News–Colmar Brunton,,Clark,29.0
2007-07-05,2008,One News–Colmar Brunton,,Key,35.0
2007-07-05,2008,One News–Colmar Brunton,,Peters,2.0
2007-07-11,2008,TV3–TNS,,Brash,1.0
2007-07-11,2008,TV3–TNS,,Clark,31.0
2007-07-11,2008,TV3–TNS,,Key,31.0
2007-07-11,2008,TV3–TNS,,Peters,4.0
2007-07-19,2008,Herald–DigiPoll,,Clark,48.7
2007-07-19,2008,Herald–DigiPoll,,Key,37.9
2007-07-19,2008,Herald–DigiPoll,,Peters,7.0
2007-08-09,2008,One News–Colmar Brunton,,Brash,0.7
2007-08-09,2008,One News–Colmar Brunton,,Clark,30.0
2007-08-09,2008,One News–Colmar Brunton,,Key,33.0
2007-08-09,2008,One News–Colmar Brunton,,Peters,4.0
2007-09-05,2008,TV3–TNS,,Brash,1.0
2007-09-05,2008,TV3–TNS,,Clark,28.0
2007-09-05,2008,TV3–TNS,,Key,32.0
2007-09-05,2008,TV3–TNS,,Peters,6.0
2007-09-13,2008,One News–Colmar Brunton,,Brash,0.3
2007-09-13,2008,One News–Colmar Brunton,,Clark,33.0
2007-09-13,2008,One News–Colmar Brunton,,Key,31.0
2007-09-13,2008,One News–Colmar Brunton,,Peters,4.0
2007-09-15,2008,Fairfax Media Poll,,Clark,34.0
2007-09-15,2008,Fairfax Media Poll,,Key,41.0
2007-09-15,2008,Fairfax Media Poll,,Peters,3.0
2007-09-29,2008,Herald–DigiPoll,,Clark,46.8
2007-09-29,2008,Herald–DigiPoll,,Key,42.2
2007-10-11,2008,One News–Colmar Brunton,,Brash,0.2
2007-10-11,2008,One News–Colmar Brunton,,Clark,33.0
2007-10-11,2008,One News–Colmar Brunton,,Key,33.0
