date,election_year,pollster,sample_size,Labour,National,NewLabour,Alliance,NZ First,ACT,United Future,Green,Progressive,Te Pāti Māori,Mana,Conservative,InternetMana,TOP,incumbent,incumbent_support,gdp_real,gdp_growth_qoq,gdp_growth_yoy,gdp_per_capita,inflation_yoy,food_inflation,housing_inflation,petrol_inflation,gdp_real_lag1,gdp_growth_qoq_lag1,gdp_growth_yoy_lag1,gdp_per_capita_lag1,inflation_yoy_lag1,food_inflation_lag1,housing_inflation_lag1,petrol_inflation_lag1,gdp_real_lag2,gdp_growth_qoq_lag2,gdp_growth_yoy_lag2,gdp_per_capita_lag2,inflation_yoy_lag2,food_inflation_lag2,housing_inflation_lag2,petrol_inflation_lag2,gdp_real_lag4,gdp_growth_qoq_lag4,gdp_growth_yoy_lag4,gdp_per_capita_lag4,inflation_yoy_lag4,food_inflation_lag4,housing_inflation_lag4,petrol_inflation_lag4
1990-10-27,1993,,,35.14,47.82,5.16,,,,,,,,,,,,,,27751.0,1.2,2.3757700962850903,,5.004721495500397,5.100182141337761,,3.1018232499998577,27429.0,-0.4,-1.3203338609871884,,7.624633377755852,10.582524282345673,,1.5701243006763121,27540.0,0.6,-0.649350649350644,,7.02274969901977,10.824230394083045,,5.0043695622186135,27107.0,-2.5,-1.3968207777090735,,7.152513243662928,11.924719086271796,,2.2968178413935503
1990-12-08,1993,,,32.0,50.0,5.0,,,,,,,,,,,,National,50.0,27751.0,1.2,2.3757700962850903,,5.004721495500397,5.100182141337761,,3.1018232499998577,27429.0,-0.4,-1.3203338609871884,,7.624633377755852,10.582524282345673,,1.5701243006763121,27540.0,0.6,-0.649350649350644,,7.02274969901977,10.824230394083045,,5.0043695622186135,27107.0,-2.5,-1.3968207777090735,,7.152513243662928,11.924719086271796,,2.2968178413935503
1991-02-02,1993,,,38.0,46.0,4.0,,,,,,,,,,,,National,46.0,28215.0,1.7,3.0760238190918,,4.850746287922214,3.315412183437627,,17.486180512143324,27751.0,1.2,2.3757700962850903,,5.004721495500397,5.100182141337761,,3.1018232499998577,27429.0,-0.4,-1.3203338609871884,,7.624633377755852,10.582524282345673,,1.5701243006763121,27373.0,1.0,0.2820926143024538,,7.19999999262011,11.59999994429688,,3.4759998761827227
1991-03-09,1993,,,40.0,43.0,6.0,,,,,,,,,,,,National,43.0,28215.0,1.7,3.0760238190918,,4.850746287922214,3.315412183437627,,17.486180512143324,27751.0,1.2,2.3757700962850903,,5.004721495500397,5.100182141337761,,3.1018232499998577,27429.0,-0.4,-1.3203338609871884,,7.624633377755852,10.582524282345673,,1.5701243006763121,27373.0,1.0,0.2820926143024538,,7.19999999262011,11.59999994429688,,3.4759998761827227
1991-04-06,1993,,,42.0,36.0,6.0,,,,,,,,,,,,National,36.0,27136.0,-3.8,-1.4669571532316628,7794.0,4.528650684641211,3.315412183437627,,10.751422849444726,28215.0,1.7,3.0760238190918,,4.850746287922214,3.315412183437627,,17.486180512143324,27751.0,1.2,2.3757700962850903,,5.004721495500397,5.100182141337761,,3.1018232499998577,27540.0,0.6,-0.649350649350644,,7.02274969901977,10.824230394083045,,5.0043695622186135
1991-05-06,1993,,,43.0,39.0,7.0,,,,,,,,,,,,National,39.0,27136.0,-3.8,-1.4669571532316628,7794.0,4.528650684641211,3.315412183437627,,10.751422849444726,28215.0,1.7,3.0760238190918,,4.850746287922214,3.315412183437627,,17.486180512143324,27751.0,1.2,2.3757700962850903,,5.004721495500397,5.100182141337761,,3.1018232499998577,27540.0,0.6,-0.649350649350644,,7.02274969901977,10.824230394083045,,5.0043695622186135
1991-06-08,1993,,,42.0,35.0,7.0,,,,,,,,,,,,National,35.0,27136.0,-3.8,-1.4669571532316628,7794.0,4.528650684641211,3.315412183437627,,10.751422849444726,28215.0,1.7,3.0760238190918,,4.850746287922214,3.315412183437627,,17.486180512143324,27751.0,1.2,2.3757700962850903,,5.004721495500397,5.100182141337761,,3.1018232499998577,27540.0,0.6,-0.649350649350644,,7.02274969901977,10.824230394083045,,5.0043695622186135
1991-07-06,1993,,,45.0,37.0,6.0,,,,,,,,,,,,National,37.0,26872.0,-1.0,-2.0306974370192132,7696.0,2.815622163066367,0.9657594897409583,,4.245623890941452,27136.0,-3.8,-1.4669571532316628,7794.0,4.528650684641211,3.315412183437627,,10.751422849444726,28215.0,1.7,3.0760238190918,,4.850746287922214,3.315412183437627,,17.486180512143324,27429.0,-0.4,-1.3203338609871884,,7.624633377755852,10.582524282345673,,1.5701243006763121
1991-08-03,1993,,,43.0,34.0,9.0,,,,,,,,,,,,National,34.0,26872.0,-1.0,-2.0306974370192132,7696.0,2.815622163066367,0.9657594897409583,,4.245623890941452,27136.0,-3.8,-1.4669571532316628,7794.0,4.528650684641211,3.315412183437627,,10.751422849444726,28215.0,1.7,3.0760238190918,,4.850746287922214,3.315412183437627,,17.486180512143324,27429.0,-0.4,-1.3203338609871884,,7.624633377755852,10.582524282345673,,1.5701243006763121
1991-08-31,1993,,,47.0,27.0,9.0,,,,,,,,,,,,National,27.0,26872.0,-1.0,-2.0306974370192132,7696.0,2.815622163066367,0.9657594897409583,,4.245623890941452,27136.0,-3.8,-1.4669571532316628,7794.0,4.528650684641211,3.315412183437627,,10.751422849444726,28215.0,1.7,3.0760238190918,,4.850746287922214,3.315412183437627,,17.486180512143324,27429.0,-0.4,-1.3203338609871884,,7.624633377755852,10.582524282345673,,1.5701243006763121
