Level,Description,SeriesRefSNDQ,Quarter,Weight,Amount
Industry groups,Agriculture,SG01RSC04B01AA1,1987Q2,0.0499960,1596.686
Industry groups,Forestry and logging,SG01RSC04B01AA2,1987Q2,0.0042006,120.463
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1987Q2,0.0067661,201.055
Industry groups,Mining,SG01RSC04B01BB1,1987Q2,0.0140206,530.698
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1987Q2,0.0564287,1145.595
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1987Q2,0.0140132,345.986
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1987Q2,0.0191522,363.417
Industry groups,Printing,SG01RSC04B01CC4,1987Q2,0.0073460,216.291
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1987Q2,0.0381132,745.851
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1987Q2,0.0060588,175.066
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1987Q2,0.0187164,541.967
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1987Q2,0.0286368,920.375
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1987Q2,0.0054366,185.029
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1987Q2,0.0297694,1125.359
Industry groups,Construction,SG01RSC04B01EE1,1987Q2,0.0500788,1565.783
Industry groups,Wholesale trade,SG01RSC04B01FF1,1987Q2,0.0574564,1556.707
Industry groups,Retail trade,SG01RSC04B01GH1,1987Q2,0.0502522,1180.378
Industry groups,Accommodation services,SG01RSC04B01GH2,1987Q2,0.0169034,700.890
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1987Q2,0.0535779,941.055
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1987Q2,0.0433400,433.118
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1987Q2,0.0538671,1487.323
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1987Q2,0.0424050,1764.566
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1987Q2,0.0630485,1975.353
