date,pollster,Clark,Peters,Key,Goff,Shearer,Norman,Ardern,Little,English,Turei,Shaw,Hipkins,Luxon,Seymour,Collins
2005-11-02,TV3–TNS,43.0,8.0,,,,,,,,,,,,,
2006-02-02,TV3–TNS,39.0,7.0,,,,,,,,,,,,,
2006-03-29,TV3–TNS,38.0,6.0,,,,,,,,,,,,,
2006-05-10,TV3–TNS,34.0,6.0,,,,,,,,,,,,,
2006-07-05,TV3–TNS,38.0,6.0,0.0,,,,,,,,,,,,
2006-08-30,TV3–TNS,38.0,5.0,0.0,,,,,,,,,,,,
2006-08-31,Herald–DigiPoll,52.4,5.0,8.5,,,,,,,,,,,,
2006-09-24,Herald–DigiPoll,50.8,4.8,9.2,,,,,,,,,,,,
2006-11-01,TV3–TNS,35.0,,,,,,,,,,,,,,
2006-12-02,Herald–DigiPoll,54.2,,28.5,,,,,,,,,,,,
2007-02-01,TV3–TNS,35.0,5.0,24.0,,,,,,,,,,,,
2007-02-15,One News–Colmar Brunton,32.0,3.0,27.0,,,,,,,,,,,,
2007-03-22,One News–Colmar Brunton,32.0,4.0,29.0,,,,,,,,,,,,
2007-03-28,TV3–TNS,37.0,4.0,28.0,,,,,,,,,,,,
2007-04-19,One News–Colmar Brunton,37.0,3.0,29.0,,,,,,,,,,,,
2007-05-09,TV3–TNS,30.0,5.0,32.0,,,,,,,,,,,,
2007-05-24,One News–Colmar Brunton,27.0,2.0,38.0,,,,,,,,,,,,
2007-05-24,Herald–DigiPoll,42.1,5.4,45.5,,,,,,,,,,,,
2007-07-05,One News–Colmar Brunton,29.0,2.0,35.0,,,,,,,,,,,,
2007-07-11,TV3–TNS,31.0,4.0,31.0,,,,,,,,,,,,
2007-07-19,Herald–DigiPoll,48.7,7.0,37.9,,,,,,,,,,,,
2007-08-09,One News–Colmar Brunton,30.0,4.0,33.0,,,,,,,,,,,,
2007-09-05,TV3–TNS,28.0,6.0,32.0,,,,,,,,,,,,
2007-09-13,One News–Colmar Brunton,33.0,4.0,31.0,,,,,,,,,,,,
2007-09-15,Fairfax Media Poll,34.0,3.0,41.0,,,,,,,,,,,,
2007-09-29,Herald–DigiPoll,46.8,,42.2,,,,,,,,,,,,
2007-10-11,One News–Colmar Brunton,33.0,3.0,33.0,,,,,,,,,,,,
2007-10-28,Herald–DigiPoll,50.8,5.0,37.3,,,,,,,,,,,,
2007-11-17,Fairfax Media Poll,38.0,,36.0,,,,,,,,,,,,
2007-11-26,Herald–DigiPoll,48.7,8.1,36.7,,,,,,,,,,,,
2007-12-12,TV3–TNS,28.0,6.0,33.0,,,,,,,,,,,,
2007-12-13,One News–Colmar Brunton,30.0,2.0,35.0,,,,,,,,,,,,
2008-01-24,Herald–DigiPoll,49.7,3.8,39.2,,,,,,,,,,,,
2008-01-30,TV3–TNS,29.0,6.0,33.0,,,,,,,,,,,,
2008-02-14,One News–Colmar Brunton,27.0,4.0,36.0,,,,,,,,,,,,
2008-02-19,Fairfax Media–Nielsen,29.0,,44.0,,,,,,,,,,,,
2008-02-26,TV3–TNS,28.0,5.0,35.0,,,,,,,,,,,,
2008-02-28,Herald–DigiPoll,44.3,3.3,46.3,,,,,,,,,,,,
2008-03-13,One News–Colmar Brunton,31.0,5.0,36.0,,,,,,,,,,,,
2008-03-27,Herald–DigiPoll,45.6,3.9,45.9,,,,,,,,,,,,
2008-04-16,TV3–TNS,32.0,6.0,29.0,,,,,,,,,,,,
2008-04-17,One News–Colmar Brunton,29.0,4.0,35.0,,,,,,,,,,,,
2008-04-22,Fairfax Media–Nielsen,33.0,,42.0,,,,,,,,,,,,
2008-04-26,Herald–DigiPoll,45.3,,48.0,,,,,,,,,,,,
2008-05-13,Fairfax Media–Nielsen,28.0,5.0,45.0,,,,,,,,,,,,
2008-05-28,Herald–DigiPoll,42.3,6.7,44.6,,,,,,,,,,,,
