date,pollster,n,National,Labour,Green,NZ First,ACT
1990-10-27,,,47.82,35.14,,,
1990-12-08,,,50.0,32.0,,,
1991-02-02,,,46.0,38.0,,,
1991-03-09,,,43.0,40.0,,,
1991-04-06,,,36.0,42.0,,,
1991-05-06,,,39.0,43.0,,,
1991-06-08,,,35.0,42.0,,,
1991-07-06,,,37.0,45.0,,,
1991-08-03,,,34.0,43.0,,,
1991-08-31,,,27.0,47.0,,,
1991-09-21,,,22.0,42.0,,,
1991-10-19,,,30.0,43.0,,,
1991-11-23,,,24.0,41.0,,,
1991-12-07,,,26.0,36.0,,,
1992-02-01,,,26.0,38.0,,,
1992-03-07,,,32.0,36.0,,,
1992-04-04,,,31.0,39.0,,,
1992-04-29,,,34.0,42.0,,,
1992-06-06,,,33.0,42.0,,,
1992-07-03,,,37.0,37.0,,,
1992-08-08,,,36.0,41.0,,,
1992-09-05,,,34.0,39.0,,,
1992-10-03,,,30.0,42.0,,,
1992-11-07,,,30.0,40.0,,,
1992-12-05,,,29.0,36.0,,,
1993-02-06,,,33.0,43.0,,,
1993-03-06,,,28.0,46.0,,,
1993-04-03,,,30.0,48.0,,,
1993-05-01,,,29.0,45.0,,,
1993-05-29,,,29.0,40.0,,,
1993-07-03,,,37.0,35.0,,,
1993-07-19,,,40.0,33.0,,12.0,
1993-08-08,,,41.0,33.0,,15.0,
1993-09-04,,,39.0,36.0,,11.0,
1993-10-02,,,37.0,37.0,,12.0,
1993-10-17,,,38.0,34.0,,10.0,
1993-10-31,,,39.0,32.0,,9.0,
1993-11-06,,,35.05,34.68,,8.4,
1993-11-06,,,35.05,34.68,,8.4,
1993-12-04,,,35.0,25.0,,10.0,
1994-02-19,,,35.0,32.0,,8.0,
1994-03-05,,,32.0,32.0,,7.0,
1994-03-26,,,32.0,29.0,,7.0,
1994-05-07,,,34.0,30.0,,8.0,
1994-05-28,,,32.0,29.0,,7.0,
1994-07-02,,,36.0,29.0,,8.0,
1994-07-30,,,35.0,27.0,,7.0,
1994-09-03,,,36.0,22.0,,7.0,
1994-10-01,,,35.0,24.0,,8.0,
1994-10-29,,,39.0,27.0,,7.0,
1994-12-03,,,40.0,28.0,,6.0,2.0
1995-05-09,,,38.0,25.0,,5.0,4.0
1995-06-15,,,36.0,27.0,,6.0,3.0
1995-07-17,,,42.0,24.0,,5.0,2.0
1995-08-13,,,42.0,23.0,,5.0,2.9
1995-09-07,,,46.0,24.0,,5.0,1.9
1995-10-07,,,49.0,16.0,,4.5,2.9
1995-11-14,,,45.0,20.0,,5.0,2.1
1996-02-21,,,44.0,20.0,,8.0,1.3
1996-03-18,,,42.0,17.0,,17.0,3.8
1996-04-18,,,40.0,18.0,,22.0,4.1
1996-05-16,,,35.0,15.0,,29.0,3.0
1996-06-09,,,43.0,16.0,,28.0,2.4
1996-06-14,,,41.0,16.0,,25.0,1.8
1996-07-07,,,41.0,16.0,,24.0,2.7
1996-07-19,,,43.0,19.0,,20.0,3.2
1996-07-21,,,43.0,19.0,,20.0,1.2
1996-08-02,,,40.0,15.0,,21.0,2.5
1996-08-04,,,42.0,19.0,,21.0,3.2
1996-08-15,,,39.0,14.0,,20.0,4.0
1996-08-18,,,37.0,20.0,,17.0,3.4
1996-08-29,,,35.0,19.0,,20.0,4.6
1996-09-01,,,38.0,21.0,,18.0,2.4
1996-09-12,,,35.0,16.0,,19.0,4.3
1996-09-26,,,40.0,18.0,,14.0,5.0
1996-10-03,,,34.0,24.0,,15.0,3.8
1996-10-08,,,30.0,26.0,,16.0,6.4
1996-10-12,,,33.87,28.19,,13.35,6.1
1996-10-12,,,33.87,28.19,,13.35,6.1
1997-02-13,,,45.0,31.0,,7.0,4.3
1997-03-13,,,47.0,32.0,,4.2,4.4
1997-04-11,,,41.0,36.0,,5.0,6.0
1997-05-13,,,38.0,42.0,,3.8,4.7
1997-05-25,,,30.0,45.0,,6.0,7.1
1997-06-25,,,39.0,41.0,,4.4,4.9
1997-07-10,,,39.0,42.0,,3.8,4.5
1997-08-07,,,39.0,42.0,,3.7,4.7
1997-09-18,,,36.0,45.0,,1.9,6.0
1997-10-11,,,31.0,49.0,,4.5,5.9
1997-10-13,,,32.0,50.0,,1.7,4.6
1997-10-16,,,30.0,52.0,,1.8,6.0
1997-11-04,,,37.0,45.0,,2.3,5.0
1997-11-13,,,36.0,45.0,,2.8,7.0
1997-11-23,,,34.0,45.0,,3.1,7.0
1997-12-10,,,40.0,46.0,0.6,1.1,5.0
1998-02-12,,,42.0,45.0,0.4,1.3,5.0
1998-02-15,,,38.0,44.0,0.5,1.8,4.4
1998-03-25,,,42.0,39.0,0.6,1.6,8.0
1998-04-21,,,42.0,38.0,0.4,2.2,6.1
1998-04-23,,,46.0,38.0,0.4,2.5,5.0
1998-05-11,,,38.3,34.7,1.4,1.7,11.8
1998-05-14,,,41.0,37.0,0.2,2.1,9.0
1998-06-18,,,37.0,37.0,0.5,2.1,11.0
1998-07-09,,,36.0,42.0,0.2,1.9,8.0
1998-07-10,,,36.0,42.0,1.0,2.3,5.1
1998-08-06,,,39.0,40.0,0.7,2.6,6.0
1998-08-11,,,32.6,46.1,,2.2,5.9
1998-08-13,,,39.0,41.0,,2.9,5.0
1998-09-13,,,35.0,42.0,0.4,4.4,4.7
1998-09-22,,,41.0,42.0,0.3,1.8,6.0
1998-10-15,,,35.0,48.0,0.7,2.0,6.0
1998-11-16,,,34.0,48.0,0.5,2.0,6.0
1998-11-17,,,32.0,49.0,1.0,3.0,5.0
1998-12-07,,,32.0,51.0,,3.5,4.5
1998-12-10,,,35.0,45.0,0.4,2.4,5.0
1999-02-11,,,41.0,42.0,0.7,2.6,3.9
1999-02-14,,,37.0,43.0,1.0,3.0,5.0
1999-03-23,,,42.0,39.0,0.6,2.2,6.0
1999-04-18,,,37.0,41.0,1.0,3.0,5.0
1999-04-27,,,38.0,44.0,0.5,1.5,6.0
1999-05-19,,,39.0,44.0,0.9,2.6,4.4
1999-06-17,,,41.0,42.0,1.4,1.9,4.9
1999-06-20,,,33.0,46.0,1.4,4.0,4.0
1999-07-13,,,38.0,44.0,0.9,1.8,4.7
1999-07-25,,,37.0,38.0,1.5,4.7,6.0
1999-08-05,,,38.0,40.0,1.1,4.0,7.0
1999-08-22,,,32.0,40.0,2.6,7.0,6.0
1999-09-03,,,35.7,43.8,3.1,5.5,
1999-09-16,,,35.0,41.0,1.9,4.1,5.0
1999-09-19,,,33.0,39.0,2.4,7.0,7.0
1999-10-10,,,36.0,40.0,2.0,4.0,7.0
1999-10-18,,,37.0,39.0,1.0,6.0,7.0
1999-10-20,,,33.0,37.0,2.5,6.0,9.0
1999-11-05,,,34.0,35.2,2.9,1.0,9.2
1999-11-07,,,28.0,41.0,2.9,6.0,10.0
1999-11-11,,,33.0,34.0,2.4,6.0,11.0
1999-11-17,,,30.0,37.0,2.8,6.0,9.0
1999-11-26,,,29.9,39.8,5.4,3.6,8.5
1999-11-26,,,31.0,39.0,6.0,3.2,7.0
1999-11-26,,,29.0,34.0,6.0,5.5,11.0
1999-11-27,,,30.5,38.74,5.16,4.26,7.04
1999-11-27,,,30.5,38.74,5.16,4.26,7.04
2000-02-28,,,30.0,51.0,4.0,3.0,4.0
2000-02-28,,,31.0,50.0,4.3,2.1,5.0
2000-04-18,,,28.0,53.0,5.0,1.0,4.0
2000-06-26,,,34.0,46.0,5.0,2.0,4.0
2000-06-30,,,32.0,43.0,3.0,6.0,10.0
2000-08-22,,,36.0,47.0,5.0,2.0,4.0
2000-09-10,,,41.0,36.0,7.0,,4.0
2000-10-31,,,39.0,44.0,4.0,2.0,3.0
2001-02-20,,,34.0,49.0,4.7,1.5,3.6
2001-04-09,,,32.0,50.0,5.0,2.0,4.2
2001-05-05,,,32.0,43.0,6.5,,6.0
2001-05-14,,,41.0,44.0,6.0,,
2001-06-11,,,31.0,49.0,7.0,3.3,2.0
2001-10-12,,,39.0,46.0,5.0,3.5,3.1
2001-10-19,,,33.0,43.0,8.0,3.6,5.2
2001-11-12,,,40.0,44.0,5.0,2.0,3.0
2001-12-17,,,35.0,45.0,6.0,3.0,3.0
2002-02-27,,,30.0,54.0,6.0,2.2,3.0
2002-06-07,,,29.0,53.0,7.2,3.3,4.5
2002-06-10,,,24.0,56.0,9.0,3.1,3.9
2002-06-10,,,31.2,49.9,7.7,2.5,4.7
2002-06-17,,,27.0,53.0,9.0,3.0,4.0
2002-06-26,,,25.7,52.1,8.3,3.8,4.4
2002-07-03,,,24.6,51.2,9.6,4.4,5.7
