year,net_migration,unemployment_rate
1990,70432,
1991,31156,10.61
1992,6460,10.67
1993,12638,9.80
1994,20420,8.35
1995,26743,6.46
1996,25169,6.29
1997,12040,6.86
1998,-1387,7.72
1999,-7634,7.02
2000,-6604,6.13
2001,17793,5.43
2002,48195,5.28
2003,42456,4.75
2004,24521,4.00
2005,19212,3.81
2006,14542,3.86
2007,3053,3.66
2008,4804,4.17
2009,12700,6.12
2010,6722,6.56
2011,-2196,6.49
2012,-1015,6.93
2013,26385,5.84
2014,57974,5.43
2015,70870,5.42
2016,75512,5.15
2017,68349,4.74
2018,59139,4.33
2019,69770,4.11
2020,42124,4.59
2021,-14944,3.78
2022,21404,3.30
2023,21404,3.73
2024,18766,4.87
