date,consumer_confidence,mortgage_2yr,petrol_price
1990-01-01,98.99,,
1990-02-01,98.99,,
1990-03-01,99.05,,
1990-04-01,99.11,,
1990-05-01,99.16,,
1990-06-01,99.15,,
1990-07-01,99.05,,
1990-08-01,98.87,,
1990-09-01,98.55,,
1990-10-01,98.08,,
1990-11-01,97.54,,
1990-12-01,97.08,,
1991-01-01,96.82,,
1991-02-01,96.74,,
1991-03-01,96.81,,
1991-04-01,97.05,,
1991-05-01,97.33,,
1991-06-01,97.5,,
1991-07-01,97.43,,
1991-08-01,97.25,,
1991-09-01,97.13,,
1991-10-01,97.19,,
1991-11-01,97.42,,
1991-12-01,97.82,,
1992-01-01,98.38,,
1992-02-01,98.97,,
1992-03-01,99.42,,
1992-04-01,99.58,,
1992-05-01,99.59,,
1992-06-01,99.58,,
1992-07-01,99.67,,
1992-08-01,99.81,,
1992-09-01,99.95,,
1992-10-01,100.03,,
1992-11-01,100.08,,
1992-12-01,100.11,,
1993-01-01,100.14,,
1993-02-01,100.19,,
1993-03-01,100.32,,
1993-04-01,100.55,,
1993-05-01,100.85,,
1993-06-01,101.16,,
1993-07-01,101.46,,
1993-08-01,101.72,,
1993-09-01,101.89,,
1993-10-01,101.94,,
1993-11-01,101.93,,
1993-12-01,101.94,,
1994-01-01,102.01,,
1994-02-01,102.13,,
1994-03-01,102.26,,
1994-04-01,102.39,,
1994-05-01,102.49,,
1994-06-01,102.52,,
1994-07-01,102.44,,
1994-08-01,102.29,,
1994-09-01,102.1,,
1994-10-01,101.89,,
1994-11-01,101.69,,
1994-12-01,101.53,,
1995-01-01,101.43,,
1995-02-01,101.4,,
1995-03-01,101.46,,
1995-04-01,101.63,,
1995-05-01,101.83,,
1995-06-01,102.01,,
1995-07-01,102.08,,
1995-08-01,102.07,,
1995-09-01,102.0,,
1995-10-01,101.88,,
1995-11-01,101.78,,
1995-12-01,101.78,,
1996-01-01,101.91,,
1996-02-01,102.06,,
1996-03-01,102.04,,
1996-04-01,101.69,,
1996-05-01,101.23,,
1996-06-01,100.91,,
1996-07-01,100.92,,
1996-08-01,101.13,,
1996-09-01,101.36,,
1996-10-01,101.49,,
1996-11-01,101.51,,
1996-12-01,101.45,,
