date,real_gdp,gdp_qoq_pct,gdp_yoy_pct,cpi_all_groups,cpi_all_groups_yoy,cpi_food,cpi_food_yoy,cpi_housing,cpi_housing_yoy,cpi_rental,cpi_rental_yoy,house_price_real
1990-01-01,,,,,,,,,,,,49.88
1990-02-01,27540.00,0.61,-0.65,574.02,7.02,578.51,10.82,,,,,
1990-04-01,,,,,,,,,,,,49.53
1990-05-01,27429.00,-0.40,-1.32,584.10,7.62,590.44,10.58,,,,,
1990-07-01,,,,,,,,,,,,49.13
1990-08-01,27751.00,1.17,2.38,589.94,5.00,598.21,5.10,,,,,
1990-10-01,,,,,,,,,,,,48.32
1990-11-01,28215.00,1.67,3.08,596.30,4.85,597.69,3.32,,,,,
1991-01-01,,,,,,,,,,,,47.18
1991-02-01,27136.00,-3.82,-1.47,600.02,4.53,597.69,3.32,,,,,
1991-04-01,,,,,,,,,,,,46.64
1991-05-01,26872.00,-0.97,-2.03,600.55,2.82,596.14,0.97,,,,,
1991-07-01,,,,,,,,,,,,46.88
1991-08-01,27280.00,1.52,-1.70,602.67,2.16,598.73,0.09,,,,,
1991-10-01,,,,,,,,,,,,46.67
1991-11-01,27270.00,-0.04,-3.35,602.14,0.98,592.51,-0.87,,,,,
1992-01-01,,,,,,,,,,,,46.23
1992-02-01,27387.00,0.43,0.92,604.79,0.80,591.99,-0.95,,,,,
1992-04-01,,,,,,,,,,,,46.78
1992-05-01,27631.00,0.89,2.82,606.38,0.97,591.47,-0.78,,,,,
1992-07-01,,,,,,,,,,,,46.92
1992-08-01,27103.00,-1.91,-0.65,608.50,0.97,601.32,0.43,,,,,
1992-10-01,,,,,,,,,,,,46.85
1992-11-01,27460.00,1.32,0.70,610.10,1.32,602.88,1.75,,,,,
1993-01-01,,,,,,,,,,,,47.30
1993-02-01,28037.00,2.10,2.37,610.63,0.96,608.06,2.71,,,,,
1993-04-01,,,,,,,,,,,,47.46
1993-05-01,28258.00,0.79,2.27,614.34,1.31,599.77,1.40,,,,,
1993-07-01,,,,,,,,,,,,48.12
1993-08-01,29031.00,2.74,7.11,617.52,1.48,604.43,0.52,,,,,
1993-10-01,,,,,,,,,,,,49.12
1993-11-01,29569.00,1.85,7.68,618.58,1.39,601.84,-0.17,,,,,
1994-01-01,,,,,,,,,,,,51.89
1994-02-01,30495.00,3.13,8.77,618.58,1.30,603.65,-0.73,,,,,
1994-04-01,,,,,,,,,,,,53.42
1994-05-01,30768.00,0.90,8.88,621.06,1.09,597.63,-0.36,,,,,
1994-07-01,,,,,,,,,,,,54.37
1994-08-01,30734.00,-0.11,5.87,628.48,1.77,600.03,-0.73,,,,,
1994-10-01,,,,,,,,,,,,54.75
1994-11-01,31160.00,1.39,5.38,635.90,2.80,604.25,0.40,,,,,
1995-01-01,,,,,,,,,,,,55.17
1995-02-01,31503.00,1.10,3.31,643.33,4.00,608.46,0.80,,,,,
1995-04-01,,,,,,,,,,,,55.60
1995-05-01,32066.00,1.79,4.22,649.51,4.58,612.67,2.52,,,,,
1995-07-01,,,,,,,,,,,,57.05
1995-08-01,31989.00,-0.24,4.08,650.75,3.54,604.85,0.80,,,,,
1995-10-01,,,,,,,,,,,,57.93
1995-11-01,32414.00,1.33,4.02,654.46,2.92,610.27,1.00,,,,,
1996-01-01,,,,,,,,,,,,60.35
1996-02-01,32584.00,0.52,3.43,657.55,2.21,610.27,0.30,,,,,
1996-04-01,,,,,,,,,,,,60.82
1996-05-01,33028.00,1.36,3.00,662.50,2.00,615.68,0.49,,,,,
1996-07-01,,,,,,,,,,,,60.56
1996-08-01,33431.00,1.22,4.51,666.21,2.38,620.50,2.59,,,,,
1996-10-01,,,,,,,,,,,,61.05
1996-11-01,33594.00,0.49,3.64,671.16,2.55,624.11,2.27,,,,,
1997-01-01,,,,,,,,,,,,63.33
1997-02-01,33389.00,-0.61,2.47,669.31,1.79,628.32,2.96,,,,,
1997-04-01,,,,,,,,,,,,63.88
1997-05-01,34232.00,2.52,3.65,669.93,1.12,630.73,2.44,,,,,
1997-07-01,,,,,,,,,,,,63.78
1997-08-01,34891.00,1.93,4.37,673.02,1.02,632.53,1.94,,,,,
1997-10-01,,,,,,,,,,,,63.49
1997-11-01,34315.00,-1.65,2.15,676.73,0.83,632.53,1.35,,,,,
1998-01-01,,,,,,,,,,,,62.66
1998-02-01,34249.00,-0.19,2.58,677.97,1.29,642.77,2.30,,,,,
1998-04-01,,,,,,,,,,,,61.28
1998-05-01,34208.00,-0.12,-0.07,681.06,1.66,647.58,2.67,,,,,
1998-07-01,,,,,,,,,,,,61.05
1998-08-01,34372.00,0.48,-1.49,684.77,1.75,656.61,3.81,,,,,
1998-10-01,,,,,,,,,,,,61.82
1998-11-01,35241.00,2.53,2.70,679.20,0.37,658.41,4.09,,,,,
1999-01-01,,,,,,,,,,,,63.01
1999-02-01,35497.00,0.73,3.64,677.35,-0.09,663.83,3.28,,,,,
1999-04-01,,,,,,,,,,,,63.35
1999-05-01,35879.00,1.08,4.88,678.59,-0.36,659.62,1.86,536.81,,763.82,,
1999-07-01,,,,,,,,,,,,63.01
1999-08-01,36384.00,1.41,5.85,681.30,-0.51,655.66,-0.14,541.67,,769.35,,
1999-10-01,,,,,,,,,,,,62.91
1999-11-01,36740.00,0.98,4.25,682.66,0.51,653.02,-0.82,542.36,,769.35,,
2000-01-01,,,,,,,,,,,,62.59
2000-02-01,37571.00,2.26,5.84,687.41,1.49,662.26,-0.24,545.14,,770.14,,
2000-04-01,,,,,,,,,,,,61.98
2000-05-01,37353.00,-0.58,4.11,692.16,2.00,659.62,0.00,547.22,1.94,768.56,0.62,
2000-07-01,,,,,,,,,,,,60.66
2000-08-01,37510.00,0.42,3.09,701.66,2.99,667.53,1.81,550.69,1.67,768.56,-0.10,
2000-10-01,,,,,,,,,,,,59.81
2000-11-01,37687.00,0.47,2.58,709.80,3.98,676.77,3.64,554.17,2.18,767.77,-0.21,
2001-01-01,,,,,,,,,,,,60.75
2001-02-01,37355.00,-0.88,-0.57,708.44,3.06,693.92,4.78,543.75,-0.25,696.68,-9.54,
2001-04-01,,,,,,,,,,,,60.45
2001-05-01,38619.00,3.38,3.39,714.55,3.24,699.19,6.00,543.75,-0.63,695.10,-9.56,
2001-07-01,,,,,,,,,,,,60.64
2001-08-01,38616.00,-0.01,2.95,718.62,2.42,711.73,6.62,546.53,-0.76,695.10,-9.56,
2001-10-01,,,,,,,,,,,,61.32
